,alpha,l1_ratio,max_iter,selection,tol,score
96,1.0,0.1,5000,cyclic,0.001,-2.4208903470768206e-06
97,1.0,0.1,5000,cyclic,0.0001,-2.4208903470768206e-06
98,1.0,0.1,5000,random,0.001,-2.4208903470768206e-06
99,1.0,0.1,5000,random,0.0001,-2.4208903470768206e-06
100,1.0,0.3,5000,cyclic,0.001,-2.4208903470768206e-06
101,1.0,0.3,5000,cyclic,0.0001,-2.4208903470768206e-06
102,1.0,0.3,5000,random,0.001,-2.4208903470768206e-06
103,1.0,0.3,5000,random,0.0001,-2.4208903470768206e-06
104,1.0,0.5,5000,cyclic,0.001,-2.4208903470768206e-06
105,1.0,0.5,5000,cyclic,0.0001,-2.4208903470768206e-06
106,1.0,0.5,5000,random,0.001,-2.4208903470768206e-06
107,1.0,0.5,5000,random,0.0001,-2.4208903470768206e-06
109,1.0,0.7,5000,cyclic,0.0001,-2.4208903470768206e-06
143,10.0,1.0,5000,random,0.0001,-2.4208903470768206e-06
