,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,score
1584,0.8,0,0.05,20,3,100,0.0,1,0.3,0.944208718611392
273,0.6,0,0.1,20,1,100,0.0,10,0.3,0.9439258668362793
316,0.6,0,0.1,20,5,100,0.1,10,0.4,0.9439119846377135
3207,1.0,0,0.1,20,3,100,0.0,10,0.3,0.9438035834926296
3195,1.0,0,0.1,20,1,100,0.1,10,0.3,0.9437283770458759
133,0.6,0,0.05,20,3,100,0.1,1,0.4,0.9435050798218055
126,0.6,0,0.05,20,3,100,0.0,1,0.3,0.9434870070852067
3362,1.0,0,0.2,20,1,100,1.0,1,0.5,0.9432979558613155
1749,0.8,0,0.1,20,3,100,0.0,10,0.3,0.9432362094221354
3067,1.0,0,0.05,20,5,100,0.1,1,0.4,0.9432120780289323
1737,0.8,0,0.1,20,1,100,0.1,10,0.3,0.9428039507922457
3380,1.0,0,0.2,20,3,100,1.0,1,0.5,0.9427215460554338
3213,1.0,0,0.1,20,3,100,0.1,10,0.3,0.9426751741413893
3030,1.0,0,0.05,20,1,100,0.1,1,0.3,0.9422429165750439
3398,1.0,0,0.2,20,5,100,1.0,1,0.5,0.9422056104384072
1609,0.8,0,0.05,20,5,100,0.1,1,0.4,0.9421004890095338
3365,1.0,0,0.2,20,1,100,1.0,10,0.5,0.942056888255383
3225,1.0,0,0.1,20,5,100,0.0,10,0.3,0.9419786731715287
291,0.6,0,0.1,20,3,100,0.0,10,0.3,0.9419742050648117
1904,0.8,0,0.2,20,1,100,1.0,1,0.5,0.9417662071170886
3060,1.0,0,0.05,20,5,100,0.0,1,0.3,0.9416148321079284
3383,1.0,0,0.2,20,3,100,1.0,10,0.5,0.9415870725522517
1572,0.8,0,0.05,20,1,100,0.1,1,0.3,0.9414753488422949
279,0.6,0,0.1,20,1,100,0.1,10,0.3,0.9412595585524132
1922,0.8,0,0.2,20,3,100,1.0,1,0.5,0.9410111772872545
1755,0.8,0,0.1,20,3,100,0.1,10,0.3,0.9410017253353791
3231,1.0,0,0.1,20,5,100,0.1,10,0.3,0.9409608847839734
1767,0.8,0,0.1,20,5,100,0.0,10,0.3,0.9408897117743269
1602,0.8,0,0.05,20,5,100,0.0,1,0.3,0.9408624031006012
151,0.6,0,0.05,20,5,100,0.1,1,0.4,0.9408408915418314
3401,1.0,0,0.2,20,5,100,1.0,10,0.5,0.9407612284665572
3048,1.0,0,0.05,20,3,100,0.1,1,0.3,0.9404475191557253
1940,0.8,0,0.2,20,5,100,1.0,1,0.5,0.9404408566910248
1907,0.8,0,0.2,20,1,100,1.0,10,0.5,0.940161680518211
